Title,Company,Location,Market,Search_Keyword,Experience_Level,Original_Salary,Salary_in_USD,Job_URL,Posted_Date,Scraped_At
"Data Engineer - 100% Remote - (Python, SQL, Spark / Scala)",Axpe Consulting,Spain,Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/data-engineer-100%25-remote-python-sql-spark-scala-at-axpe-consulting-4387459002,2026-03-18,2026-03-30 17:41:54
Data Engineer,Deel,Spain,Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/data-engineer-at-deel-4381047855,2026-03-28,2026-03-30 17:41:54
Data Engineer (remote in Spain),QAD,"Barcelona, Catalonia, Spain",Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/data-engineer-remote-in-spain-at-qad-4386906204,2026-03-17,2026-03-30 17:41:54
Data Engineer,Webologix Ltd/ INC,Spain,Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/data-engineer-at-webologix-ltd-inc-4390873456,2026-03-26,2026-03-30 17:41:54
Data Engineer,Quadient,"Barcelona, Catalonia, Spain",Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/data-engineer-at-quadient-4385682909,2026-03-17,2026-03-30 17:41:54
Senior Data Engineer,Rithum,Spain,Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/senior-data-engineer-at-rithum-4302038920,2026-03-30,2026-03-30 17:41:54
Senior Data Engineer,Senovo IT Ltd,Spain,Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/senior-data-engineer-at-senovo-it-ltd-4390736570,2026-03-26,2026-03-30 17:41:54
Data Engineer,Inetum,"Madrid, Community of Madrid, Spain",Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/data-engineer-at-inetum-4339291386,2026-03-12,2026-03-30 17:41:55
Data Engineer | AWS Data Services | 100% Remote,UST España & Latam,Spain,Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/data-engineer-aws-data-services-100%25-remote-at-ust-espa%C3%B1a-latam-4387360147,2026-03-27,2026-03-30 17:41:55
Senior Data Engineer,Signify Technology,Spain,Spain,Data Engineer,Mid-Senior level,N/A,N/A,https://es.linkedin.com/jobs/view/senior-data-engineer-at-signify-technology-4395042988,2026-03-30,2026-03-30 17:41:55
